file_id,category,correct_coverage_length,wrong_coverage_length,gs_coverage_length,app_coverage_length,precision,recall,F1
0,Attribute,95,2095,101,2190,4.34,94.06,8.3
0,Deontic,32,0,63,32,100.0,50.79,67.37
0,SEPARATOR,0,0,39,0,,0.0,
0,aCtor,24,1,1123,25,96.0,2.14,4.19
0,aIm,276,24,405,300,92.0,68.15,78.3
0,oBject,405,43,2956,448,90.4,13.7,23.79
1,Attribute,286,2023,318,2309,12.39,89.94,21.78
1,Deontic,56,0,70,56,100.0,80.0,88.89
1,SEPARATOR,0,0,45,0,,0.0,
1,aCtor,72,3,1322,75,96.0,5.45,10.31
1,aIm,282,16,424,298,94.63,66.51,78.12
1,oBject,267,77,2359,344,77.62,11.32,19.76
2,Attribute,678,806,911,1484,45.69,74.42,56.62
2,Deontic,24,0,48,24,100.0,50.0,66.67
2,SEPARATOR,0,0,20,0,,0.0,
2,aCtor,93,3,990,96,96.88,9.39,17.12
2,aIm,130,107,205,237,54.85,63.41,58.82
2,oBject,254,27,1496,281,90.39,16.98,28.59
3,Attribute,577,1816,724,2393,24.11,79.7,37.02
3,Deontic,12,0,16,12,100.0,75.0,85.71
3,SEPARATOR,0,0,42,0,,0.0,
3,aCtor,20,195,626,215,9.3,3.19,4.75
3,aIm,307,86,428,393,78.12,71.73,74.79
3,oBject,445,6,2433,451,98.67,18.29,30.86
4,Attribute,446,1564,675,2010,22.19,66.07,33.22
4,Deontic,28,0,57,28,100.0,49.12,65.88
4,SEPARATOR,0,0,41,0,,0.0,
4,aCtor,22,2,237,24,91.67,9.28,16.85
4,aIm,268,71,404,339,79.06,66.34,72.14
4,oBject,640,9,3185,649,98.61,20.09,33.38
5,Attribute,1438,4580,2263,6018,23.89,63.54,34.72
5,Deontic,120,0,196,120,100.0,61.22,75.95
5,SEPARATOR,0,10,131,10,0.0,0.0,
5,aCtor,299,140,3066,439,68.11,9.75,17.06
5,aIm,845,371,1425,1216,69.49,59.3,63.99
5,oBject,850,69,10598,919,92.49,8.02,14.76
6,Attribute,197,306,355,503,39.17,55.49,45.92
6,Deontic,4,0,4,4,100.0,100.0,100.0
6,SEPARATOR,0,0,8,0,,0.0,
6,aCtor,0,50,40,50,0.0,0.0,
6,aIm,37,55,76,92,40.22,48.68,44.05
6,oBject,0,0,889,0,,0.0,
7,Attribute,727,530,1026,1257,57.84,70.86,63.69
7,Deontic,12,0,23,12,100.0,52.17,68.57
7,SEPARATOR,0,0,13,0,,0.0,
7,aCtor,34,62,557,96,35.42,6.1,10.41
7,aIm,97,49,176,146,66.44,55.11,60.25
7,oBject,99,34,1682,133,74.44,5.89,10.92
8,Attribute,830,1457,1161,2287,36.29,71.49,48.14
8,Deontic,32,0,50,32,100.0,64.0,78.05
8,SEPARATOR,0,22,35,22,0.0,0.0,
8,aCtor,163,75,592,238,68.49,27.53,39.27
8,aIm,243,45,333,288,84.38,72.97,78.26
8,oBject,125,40,1670,165,75.76,7.49,13.63
9,Attribute,762,818,1298,1580,48.23,58.71,52.96
9,Deontic,21,7,53,28,75.0,39.62,51.85
9,SEPARATOR,0,0,41,0,,0.0,
9,aCtor,12,40,987,52,23.08,1.22,2.32
9,aIm,211,96,597,307,68.73,35.34,46.68
9,oBject,152,137,2326,289,52.6,6.53,11.62
10,Attribute,229,999,748,1228,18.65,30.61,23.18
10,Deontic,16,0,35,16,100.0,45.71,62.74
10,SEPARATOR,0,0,20,0,,0.0,
10,aCtor,0,9,249,9,0.0,0.0,
10,aIm,151,22,380,173,87.28,39.74,54.61
10,oBject,35,111,2098,146,23.97,1.67,3.12
11,Attribute,817,3938,1826,4755,17.18,44.74,24.83
11,Deontic,50,2,86,52,96.15,58.14,72.46
11,SEPARATOR,0,0,98,0,,0.0,
11,aCtor,234,42,2468,276,84.78,9.48,17.05
11,aIm,595,164,1113,759,78.39,53.46,63.57
11,oBject,523,105,5382,628,83.28,9.72,17.41
12,Attribute,240,1329,305,1569,15.3,78.69,25.62
12,Deontic,4,0,16,4,100.0,25.0,40.0
12,SEPARATOR,0,26,33,26,0.0,0.0,
12,aCtor,76,21,715,97,78.35,10.63,18.72
12,aIm,252,65,370,317,79.5,68.11,73.37
12,oBject,221,94,2932,315,70.16,7.54,13.62
